WHSE,DSP_LOCN,LOCN_PICK_SEQ,SKU_BRCD
1211,00 R65,,53550374
1211,00 R62,,53400225
1211,00 R2,,53051035
1211,00 R63,,53051035
1211,00 R64,,53550107
1211,00 R19,,52150693
1211,00 R21,,52150692
1211,00 R27,,52150692
1211,00 R29,,52150693
1211,00 R26,,52150690
1211,00 R20,,52150690
1211,00 R1,,53051034
1211,00 R62,,53051034
1211,00 R85,,53450947
1211,00 R59,,53450947
1211,00 R56,,53450075
1211,00 R86,,53450877
1211,00 R18,,52150689
1211,00 R22,,52150675
1211,00 R28,,52150689
1211,00 R61,,53151153
1211,00 R61,,53151153
1211,00 R17,,52051630
1211,00 R83,,53350927
1211,00 R44,,53200008
1211,00 R43,,53200012
1211,00 R52,,54150066
1211,00 R16,,54150066
1211,00 R60,,53400106
1211,00 R53,,54150047
1211,00 R17,,54150047
1211,00 R63,,53150840
1211,00 R50,,53400382
1211,00 R51,,53400301
1211,00 R47,,53450732
1211,00 R52,,53450294
1211,00 R49,,53450290
1211,00 R48,,53150838
1211,00 R45,,53200600
1211,00 R3,,53400303
1211,00 R46,,53400300
1211,00 R58,,53350597
1211,00 R57,,53450948
1211,00 R84,,53450948
1211,00 L12,,23010357
1211,00 L2,,23010338
1211,00 L4,,17010020
1211,00 L24,,11050343
1211,00 R6,,52100988
1211,00 R5,,52100797
1211,00 L13,,60100379
1211,00 L2,,60010223
1211,00 R4,,42012968
1211,00 R5,,42012967
1211,00 R2,,42012970
1211,00 R23,,42050663
1211,00 R24,,42050084
1211,00 R25,,42010496
1211,00 R1,,42012969
1211,00 R3,,42012966
1211,00 R6,,27010325
1211,00 R17,,27010323
1211,00 R7,,27010326
1211,00 R1,,27010451
1211,00 R18,,27010324
1211,TBDL36,,57150018
1211,TBDL29,,57150116
1211,TBDL36,,57150019
1211,TBDL34,,57150041
1211,TBDL30,,57150037
1211,TBDL31,,57150020
1211,TBDL25,,57150049
1211,TBDL27,,57150053
1211,TBDL38,,57150030
1211,TBDL32,,57150055
1211,TBDL29,,57150128
1211,TBDL43,,57500340
1211,TBDL38,,57500066
1211,TBDL44,,57500065
1211,TBDL53,,57600150
1211,TBDL52,,57600537
1211,TBDR30,,89052285
1211,TBDR12,,89054324
1211,TBDL16,,89074248
1211,TBDR10,,89054451
1211,TBDR24,,89056760
1211,TBDL8,,89060617
1211,00 L11,,47300092
1211,00 L15,,47300034
1211,00 L9,,47300061
1211,00 L13,,47300036
1211,00 L10,,47300059
1211,00 L19,,47300082
1211,00 L14,,47300003
1211,00 L12,,47300033
1211,00 L8,,47300074
1211,TBDB1,,96010686
